Цитата №;Дата;Цитата;Рейтинг
Цитата #31796; 11 июля 2012 ;"из ЖЖ:Это потом я понял, что соседи пришли именно ко мне, решив, что раз я учусь на программиста, у меня должен быть интернет, а значит я смогу найти то, что их интересует... Но поначалу я впал в легкий ступор, когда ко мне постучали и сказали: ""Юрочка, ты же программист? Нам тут надо кастрировать кота...""";755
Цитата #221; 30 ноября 2007 ;xxxа у тебя то что в паспорте?..yyyВитяxxxа почему в инфе написано, что Рома?yyyопечатка;754
Цитата #31142; 18 июня 2012 ;Orange: ко мне пришла толькочто моя любимая девушка, сказала, что выходит замуж, благодарит за всё, желает удачи, попутного ветра, подарила две бутылки Джека Дэнилса и попросилась в ванную. Сидит там уже полчаса. Что делать?;753
Цитата #16418; 12 октября 2010 ;веселая у меня девушка...д: поможешь мне сегодня физику сделать?я: попробую, я правда ее плохо понимаю.д: да там легко. я тебе объясню;752
Цитата #17874; 16 декабря 2010 ;ххх: кто у трезвого на уме, тот у пьяного в исходящих :);752
Цитата #16768; 25 октября 2010 ;xxx: на днях ходила к косметологу на чистку. почистили меня, потом маску нанесли с запахом водорослей, оставили меня минут на 20, музыку-релакс включилиxxx: я лежу будто в болоте: темно, на лице какая-то дрянь с запахом гнилья и птицы поют над ухом;750
Цитата #16887; 29 октября 2010 ;xxx: а можно в настройках почтового ящика указать размер члена, чтобы не слали спам по увеличению?;750
Цитата #293; 2 декабря 2007 ;"xxxx: Я люблю Россиюxxxx: Вчера иду себе вечером,никого не трогаю.xxxx: Тут удар ногой в спину, падаю лицом вниз, лежу, подбегают 2 омоновца, переворачивают меня, и со словами: ""Не, не он"", садятся в машину и уезжают...";747
Цитата #18227; 1 января 2011 ;xxx: Не дождусь, когда соцсети проберутся в автомобили. Обогнал такой пробку по обочине и бац: «14 человек считают, что вы хуйло».;746
Цитата #1084; 3 сентября 2008 ;Чем вкуснее пельмени, тем херовее жызнь.;744
Цитата #32181; 26 июля 2012 ;Поставила курицу в духовку, пошла укладывать ребёнка спать.Мужу говорю: последи, как запахнет - убавь, через 15 минут достань.- Ага, хорошо.Через час прибегаю на кухню - курица горит. Муж за компом.Немая сцена. Кхм.Слова мужа цитирую:- Я сижу играю, чувствую, что вкусно пахнет. Думаю, сейчас пойду поем. Потом запахло горелым невкусно и я передумал.;740
Цитата #32703; 16 августа 2012 ;Была такая история, через 3 дня день строителя, шеф поручил найти, кто сможет на кирпиче вырезать поздравление, ну очень хотел выделиться таким подарком. Начинаю искать, гуглить, никто не делает это. Потом допёрло позвонить в изготовление памятников.xxx: Здравствуйте, такой вопрос, вы занимаетесь гравировкой кирпичей?yyy: У вас что, мышь умерла?;740
Цитата #31186; 19 июня 2012 ;olga98: А какой пин на твоей карте?roman83: Тебе ЭТО в общем чате писать? Ща отэсэмэсю.olga98: НЕ! я у мамы телефон забыла! зааай???roman83: Ладноа. Давай по цифрам. Первая - вторая цифра нашей квартиры. Вторая - четвертая твоего телефона. Третья - 4. Последняя - последняя марки твоего ноута. ок?olga98: поняла. а ты хитрый! 8342, так?;739
Цитата #11008; 18 января 2010 ;ххх: У нее в глазах какая-то искорка есть :)ууу: По-моему, ее тараканы в голове какой-то праздник справляют и это салют...;738
Цитата #16333; 8 октября 2010 ;"irrra07:вчера братику объясняла женскую психологию. В полдвенадцатого ему смс приходит от его девы, он мне читает ""А я уже спать легла"" и спрашивает - что она этим хотела сказать?Я - ну, она хотела сказать, что уже полдвенадцатого, а ты ей не позвонил и не написал пожелать спокойной ночи и всего остального. А еще это значит, что если ты не ответишь, она сама тебе перезвонит минут через 10, ибо не выдержит.Пяти минут не прошло и она звонит....";738
Цитата #30465; 27 мая 2012 ;"ххх:Я сегодня с треском провалил ОБЖууу:Как ты умудрился?ххх:Там вопрос был:""В случае пожара,какие шаги вы предпримете?""ххх:Очевидно, ответ ""неебически большие"" был неверный.";738
Цитата #381; 6 декабря 2007 ;Я: В пятницу, если все получится, то у меня будет секс с обалденной девушкой!!!Она: О_оЯ: Упс. Это не тебе!Я: Это про тебя :-[;735
Цитата #1391; 14 сентября 2008 ;Папасос кольких до каких ты завтра учисяКрошка Енотс 8.30 до 15.40 в пятницу так жеПапаа в субботуКрошка Енота в субботу свадьбаПапау кого?Крошка Еноту нас c Митей блин!!!)))))))))Папау где? у хто?Крошка Енотпапа..возможно для тебя это станет неожиданностью,но я выхожу замуж.Папахто разрешил?Крошка Енот*ROFL*;735
Цитата #18485; 14 января 2011 ;DON: Политическая экономия. Учебник. — П.издат.DON: хороший учебник.;735
Цитата #29724; 24 апреля 2012 ;"Приехал я как-то на заправку. Жена с ребенком сидит на заднем сидении. Вставил пистолет, стою жду, о чем-то думаю. В это время жена вышла из машины с другой стороны отвести ребенка в туалет. Я, не заметив этого, заправил машину, сел и уехал как ни в чем не бывало. Еду, значит, а тут мне жена на мобильник звонит. Я сбрасываю звонок и говорю вслух: ""Хватит придуриваться, не отвлекай"". Она звонит мне еще раз, я смотрю в зеркало заднего вида и тут до меня доходит..";733
Цитата #11711; 25 февраля 2010 ;девочка (д) только что отправила парню (п) свою фотографию.д: ну как, только честно?п: ну... зато в тебя монетки кидать не будут...д: в смысле?!п: в смысле - не фонтан.;730
Цитата #11181; 28 января 2010 ;[Ц@Rь]: у меня иногда возникает ощущение, что когда ты смотришь на торрент, то он стесняется и скорость загрузки падает.;729
Цитата #31227; 20 июня 2012 ;До чего доводит дипломЗвонит на сотовый одногруппник.О: позвони мне на мобильный, я что-то нигде его найти не могу...Я: в руках смотрел?О: в смыс... блять. пока.;727
Цитата #32864; 23 августа 2012 ;xxx:сейчас во дворе видел мальчика, у которого на челе написано быть идеальным начальником. Дети играют, он сидит наблюдает. Вдруг:-Эй, пацаны! Идите сюда кто-нибудь один!один подходит.-Чо?-Позови остальных!;724
Цитата #28481; 13 марта 2012 ;Работаю в поддержке одного оператора мобильной связи, раннее утро, в трубке молодой женский голос, говорит шепотом:- Девушка, помогите, я назову номер, а вы мне скажите как владельца зовут, а то он вот сейчас проснется, а я не знаю как к нему обратиться...;723
Цитата #14116; 29 июня 2010 ;xxx: мой сосед по даче занимается установкой входных дверей, у него старых железных просто море, он из них забор соорудилxxx: щас у него любимое занятие - смотреть, как гости к нему сначала попасть пытаются, а потом - выйти;722
Цитата #12539; 9 апреля 2010 ;xxx: я сегодня доброе дело сделалyyy: Что на этот раз?xxx: на вокзале бежал, смотрел на табло и нечаянно задел плечом девушкуxxx: она уронила бутылку пива и выронила сигаретуxxx: чувствую себя просто героем;721
Цитата #32470; 7 августа 2012 ;он: уруруруру, ты такая милая, такая киса, прям аняняняняняняня и даже мимимиона: эк тебя распидорасило;713
Цитата #17995; 22 декабря 2010 ;1: помнишь, я у местных гопов парнишку избитого выкупила за полтинник? пожалела, дура!2: почему дура-то?1: они ко мне вторую неделю ходят как на работу. приносят парней, предлагают купить. и говорят: не стесняйся! не нравится этот, скажи - другого принесем (;711
Цитата #32549; 10 августа 2012 ;Интернет-викторинаЗнайка: бог еды и плодородия у народов крайнего севера? (8 букв)SataNuna: вертолет;710
Цитата #32855; 23 августа 2012 ;xxx: Сегодня увидел таракана, схватил какой-то журнал со стола и...xxx: Это был первый в мире таракан, попавший на обложку Forbes )));706
Цитата #30880; 10 июня 2012 ;xxx: Здрасьте. Майские добили организм. Наездился по врачам. Убил всё что можно. Пытаюсь вырваться. Тяжко пиздец.Две недели не пил, вроде полегче стало. Но пару соток выпил и опять жопа. Давление и вся хуйня. А впереди чемпионат Европыyyy: Только не говори что ты в Сборной;705
Цитата #30069; 11 мая 2012 ;"Макс: сегодня иду по улице, навстречу чувак в футболке с надписью ""Если хочешь меня - улыбнись""Макс: никогда я ещё не прилагал столько усилий, чтобы сохранить серьёзное лицо";704
Цитата #16453; 13 октября 2010 ;"ххх: Девиз женщин: Мужчины - линолеум. Если его первый раз хорошо постелить, то по нему можно ходить 20 лет.ууу: Ну хорошо, почувствовал унижение мужского пола. Вот тебе: девушки как ламинат, не клеится - забей!zzz: Это называется ""битва полов""";699
Цитата #30381; 24 мая 2012 ;xxx: не, ты не понял. Безмен действительно ебнутый. он купил телефон на рынке за 200р чтобы (внимание) ПРИВЯЗАТЬ ЕГО К ПУЛЬТУ и звонить когда тот теряецо!ууу: он гений!!!;699
Цитата #15016; 11 августа 2010 ;xxx: Переживших лето 2010 будут выгонять из Ада.xxx: За смех в котле.;697
Цитата #16186; 4 октября 2010 ;xxx: у меня теперь есть семья - я, кот и одеяло.xxx: мы даже спим все вместе!;697
Цитата #21013; 3 мая 2011 ;МегаБайт: Слушай что со мной вечером было.МегаБайт: Вешал клиенту тарелку спутниковую. Клиент живёт в частном доме. Короче, кусок черепицы под ногами поехал и я с сатфайдером в одной руке и ключом в другой не успел ни за что ухватиться, но штаниной зацепился за телевизионную антену, а она (сама трубка) у основания гнилая была и отвалилась. Упал я сначала на сук яблони и он отломился, потом очень сильно ударился спиной об забор и на полном форсаже влетел в собачью кануру. Конура в щепки. Пёс умер видимо от испуга (я совсем этого не хотел!). А ногой я умудрился разбить стекло в окне (пока летел хотел перегруппироваться но не успел). Теперь у них ещё крыша течёт. И собаки нет. Во дворе погром как после ракетного удара, интернета нет и зомбоящик не показывает. Я высококлассный профессионал. У меня так в визитке написано.;695
Цитата #31768; 10 июля 2012 ;"Заказали простенькую сеть - домен, файловый сервер, сервер 1С. Чего сложного? Ничего. Сделал. Через 2 дня перезванивают - начальство недовольно, надо все переделывать, приезжайте срочно. Приехал разбираться. Оказывается - ""Мы ничего в этом не понимаем, НО знаем, должно громко жужжать!"" Приклеил скотчем к корпусному вентилятору бумажку, чтоб лопасти вентилятора цепляла, корпус резонирует, машина жужжит. Заказчик доволен.";694
Цитата #19018; 7 февраля 2011 ;Сижу дома, протираю электрогитару водкой. Ну она и кожный жир с грязью хорошо оттирает, и лак не портит. Попутно жру конфеты, которые стащил с кухни. Протёр гитару, поставил на стойку. Только разворачиваюсь к компу, заходит мама.Пятисекундная немая сцена. Сижу за столом я, на столе бутылка водки, конфетка. Фраза мамы:- Грустишь, сынок?;689
Цитата #248; 30 ноября 2007 ;В банеHа верхней полке лежит бабулька. Внизу стоит молодая девушка, моется,поглаживая нежно свое тело, натирая медом и т.п. и любуясь собой.Бабулька ей:- Красивая ты очень, девонька...- Да, красивая (кокетливо так)- Наверное, парни за тобой так и бегают, отбоя нет?- Да, бегают (еще кокетливее)- И никому не даешь, наверное...- Hе даю, никому (гордо)- Потом тааааааак пожалееееешь, девонька...;683
Цитата #28521; 14 марта 2012 ;Пятая пересдача.Препод: Таак. Это Вы не рассказали, того не знаете, там ошиблись. Что же с Вами делать?Студент: Пожалеть :(Препод: Беедненький, опять не сдал...;682
Цитата #20607; 18 апреля 2011 ;xxx: я там салат крабовый приготовила, иди поешьххх: только майонез добавь, его рис впиталххх: и соль добавь, рис несоленый был, соль он тоже впитал )ууу: пойду быстрей жрать, пока рис не впитал крабовые палочки и кукурузу;681
Цитата #27182; 18 января 2012 ;"xxx: у дочи в классе психолог проводил рисуночный тест. Есть такой ""Моя семья"" называется. Мальчик один нарисовал Маму, сестру и Пиздокрыла. И подписал всех...";681
Цитата #18147; 28 декабря 2010 ;"Друг работает тренером в тренажерном зале. Готовлюсь к тренировке, надеваю перчатки и захожу в зал. Продолжая смотреть на перчатки подхожу к тренеру и спрашиваю: ""Ну, безмозглая гора мышц, что мне сегодня делать?"". Поднимаю голову и понимаю, что это не мой друг. Ответ ""делай ноги"" я расценил как неоднозначный.";680
Цитата #16690; 21 октября 2010 ;"xxx: Случайно заметил пачку сигарет девушки.xxx: Она новую большую надпись о вреде курения заклеила бумагой, а на ней написала ""ничего страшного"".";679
Цитата #17682; 8 декабря 2010 ;XXX: На улице каток. Первый раз в жизни видел, как поскальзывается голубь.;679
Цитата #13649; 4 июня 2010 ;Vol4en0k: печальный парадокс студенческой жизни: учить надо - лень не позволяет, спать лечь - совестьVol4en0k: сижу, жру...;678
Цитата #13753; 10 июня 2010 ;c Ленты.РУguest86Т.к. большинство депутатов проходят по партийным спискам и следовательно голосуют так как скажет лидер фракции, считаю что думу надо сократить до лидеров фракций, которые будут иметь в своем распоряжении % голосов полученный на выборах. Здание думы перепрофилировать под дом детского творчества, думу разместить в 4- комнатной квартире в новостройке за МКАДом. Ладно, дать один на всех автомобиль с мигалкой, пусть спикер с утра всех собирает и везет в думу.;678
Цитата #15282; 24 августа 2010 ;Xment: Хахаха! Сосед с перфоратором, ты неудачник! я сегодня проснулся на 5 минут раньше тебя!;678
Цитата #16148; 3 октября 2010 ;Кирпич: ага, у меня тоже бывает такоеКирпич: вышел с утра на учебу, идуКирпич: шагается бодро такКирпич: до метро почти дошагалКирпич: смотрю - а я в тапках );678
Цитата #32074; 22 июля 2012 ;"Алина: Решил он мне сюрприз сделать, купил фонарик этот летающий в форме сердечка, закрыл мне глаза и повел за дом. Стою с закрытыми глазами, а рядом чирк, чирк спичками и отвязные маты. Потом наконец-то облегченное ""славабогублятьзажглось"", и фееричное снятие моей повязки.Кысо: Романтика...Алина: Ага, только кое-кто не проверил, есть ли ветер на улице. В итоге, бумага наклонилась и сердце вспыхнуло и полетело в неизвестном направлении.Алина: Он потом еще минут десять со всей собравшейся толпой обсуждал, что за мудак дерево поджег...";678
Цитата #10090; 25 ноября 2009 ;Rino: Один мой знакомый, филолог, выпускник МГИМО, с японского отделения, работает на Курильских островах. Их вывозят в море, где он в громкоговоритель орет заблудившимся японским рыбакам, что это наша территория.;676
Цитата #15875; 21 сентября 2010 ;"ххх: помнишь, я бегала по кабинету с радостным криком ""УРРА Я НАКОНЕЦ НАШЛА ЭТИ ЧЕРТОВЫ СКОБЫ!!!!!!!!""?YYY: угуххх: не видел, куда я их после этого положила?";676
Цитата #31300; 22 июня 2012 ;XXX: Мишаня, дай мне свой логин/пароль, мне там кое-что сделать надо.YYY: Si6gPw89YJBoh1ap9Gq2XXX: Ты шизанутый параноик. Зачем такие пароли?YYY: Это логин.YYY: Пароль я тебе картинкой ММС-ку пришлю;675
Цитата #31676; 6 июля 2012 ;"xxx: Еду с работы сегодня значит. Че-то настроение хмурое, не выспался, все такое. Забрал жену, едем, молчим. Сижу, значит, и думаю: ""Раньше, когда она сидела справа, постоянно мне на ногу клала руку, гладила, там, заигрывала. А сейчас уже не так..."" Не успел даже взгрустнуть по этому поводу, чувствую - она гладит мне ногу ладошкой.xxx: Думаю: ""Опа! Работает! Не теряем момент - срочно миллион! Прямо сейчас хоть прямо на капот!""xxx: И уябываюсь в Крузак Прадо :(";674
Цитата #2; 25 ноября 2007 ;ххх: Настоящие мужчины при виде обнаженной женщины не краснеют, а бледнеют.Крови на лицо не остается...;673
Цитата #17511; 30 ноября 2010 ;A: отдать штуку баксов за котенка это нормально или нет?B: его в заложники взяли?;673
Цитата #19086; 10 февраля 2011 ;otopba: Когда наконец изобретут такой кран, который, когда поворачиваешь на чуть-чуть, он и меняет температуру на чуть-чуть, а не ебашит кипятком?;673
Цитата #16461; 13 октября 2010 ;Mpak: у меня дома посудомоечная машина, стиралка, робот-пылесос и мне привозят еду из ближайшего ресторана.Mpak: мне всё труднее и труднее доказать приходящим женщинам, что они мне нужны не для секса.;672
Цитата #17053; 8 ноября 2010 ;Да с ними никогда не угадаешь.Я тут радовался, что дочка наконец с диеты слезла, а оказалось, блять, она беременна.;672
Цитата #31924; 17 июля 2012 ;Звонок. Начальник берет трубку. Некоторое время выслушивает наезды, потом задумчиво отвечает:- Стоп. Давайте я попробую переключить вас на кого-нибудь, кому не похуй на ваши проблемы. Набирает номер и кладет трубку;672
Цитата #16661; 20 октября 2010 ;"из ЖЖ:Я только что нашел волос в конфете под названием ""Старик Хоттабыч"". Как думаете, он еще работает?";671
Цитата #34368; 21 ноября 2012 ;kex: сегодня звонок телефонный разбудилkex: банк звонит. Говорят - придите за своим призом.kex: я - о_Оkex: они - Ну Вы же в конкурсе участвовалиkex: я - О_Оkex: они - Ваш рисунок в конкурсе детских рисунков выиграл приз зрительских симпатий.kex: Я вспомнил - в очереди сидел и нарисовал там кота жирнющего со стеклянными глазамиkex: И подписалkex: Серёжа, 28 годиковkex: Надо идти забирать, чо.;671
Цитата #17696; 9 декабря 2010 ;yyy: Максим.yyy: В постели должен стоять член!yyy: А у нас в постели стоит один только ржач!;668
Цитата #21866; 30 мая 2011 ;Взял в жены юную валькирию, пронзительный взгляд, осиная талия, коса в руку толщиной до пояса. У них там все такие. Сбежали мы за рубежа на попутном тракторе, пахали несколько лет, купили дом в кредит.Родственники собрали подарки к новоселью - гламурные вазочки, дизайнерские лампочки, серебро столовое, все такое. Только тесть подарил электрическую машинку для прочистки труб с чемоданом насадок. Ну мы с женой похихикали из вежливости (неуместные ассоциации первого уровня), попытались драгоценный подарок забыть, но получили его от тестя второй раз перед самолетом. Пришлось брать.Прошло пять лет. В доме все время гости, то свекровь, то теща, то сестры-племянницы... Так вот. Дорогой тесть. Ты знал, старый хрен, ты все знал. Ты знал про нашу злоебучую сантехнику, разнодиаметровые колена, 10-метровые горизонтальные фанухи и Т-коннекторы в самых блять неожиданных местах. Ты знал что в нашей стране победившего капитализма сантехники дерут как очень дорогие проститутки, но при этом сами имеют клиентов. Ты прожил с этими тремя бабами 40 лет в советские времена, когда ни каких машинок для прочистки канализации не было в помине. Теперь, раз в пол-года вытаскивая из каждой раковины и каждой ванны по гриве Буцефала я хочу сказать. Саша, твой подарок оказался самым ценным и самым полезным. Большое тебе мужское спасибо.;668
Цитата #18504; 15 января 2011 ;"Вася: я даже слово ""жопа"" никогда при девушке не говорилМаша: ну вот, сказал жеВася: бляяяяМаша: :(Вася: Сука, да что за день сегодня такой";665
Цитата #329; 3 декабря 2007 ;он: извини:) забыл как тебя зовут...:)она: :) запомни. как пугачева:)он: О_о емельян?!она: дурак;664
Цитата #30525; 29 мая 2012 ;xxx: ярче всего мне запомнился ДР мужа, когда за столом его мама произнесла тост: Саша, желаю тебе в этом году найти свою любовь!!!!xxx: а я сижу, такая, с кольцом и не палюсь...;664
Цитата #12365; 31 марта 2010 ;XXX: кто тут моя хрюшечка, кто тут моя толстенькая?YYY: Хватит меня толстой называтьXXX: Кто тут у нас вреднюлькается?YYY:...XXX: Что ты должна любимому сказать?YYY:Хрю, мля, ХРЮЮЮ!;662
Цитата #32183; 26 июля 2012 ;она: А ты забавный! Что делаешь вечером? Может сходим куда-нибудь?он: Заманчиво... Только мама будет ругаться :(она: Какая мама? Тебе лет-то сколько??он: (вздыхая) Мама моего сына...;662
Цитата #1049; 31 августа 2008 ;ааа: Ну, ты сабираешся?! Нам певца не хватает....ббб: Ой... У меня с вокалом плохо, но, в принцыпе, магу спеть....ааа: О_о?! Мне пох на твои вакальные данные, бери певцо, и приходи...;661
Цитата #16482; 14 октября 2010 ;ххх: маску для лица сделала из мёда, муки и сметаны. а она в холодильнике стояла, ну и замёрзла. решила разогреть её в микроволновке.ххх: поставила на 3 минуты, прихожу, а там хлеб;660
Цитата #20721; 21 апреля 2011 ;Фекла Сигизмундовна: Любая женщина, которая помогала мужчине в поиске пары для носка, знает, что мужчины различают огромное количество оттенков черного цвета: 'черный', 'я говорю, черный', 'другой черный' (а также его оттенок 'ДА ДРУГОЙ ЧЕРНЫЙ, ЕПТА'), а также самый любимый цвет 'Да похуй уже, давай этот';659
Цитата #13401; 23 мая 2010 ;"Мать недавно выдала...Купила рыбы.Кот учуял и целый день ныл.Пришел в зал и ноет.Мать говорит:""Андрей, иди отрежь коту голову и выкинь на улицу""...Позже поняла, что сморозила...";658
Цитата #15304; 25 августа 2010 ;NSaturday: Олег, заходишь в бухгалтерию - никого... Заходишь на кухню - опппа! бухгалтерия!;658
Цитата #14121; 29 июня 2010 ;BILBOS: а я до сих пор поражаюсь степени своего слепого доверия родителям. Мама регулярно обманывала меня следующим нехитрым способом — когда я не хотел спать, она говорила, что как только я засну, она даст мне конфетку. Тут, кстати, вопрос доверия может перейти в вопрос моего интеллекта. Но сейчас не об этом.;657
Цитата #25975; 18 ноября 2011 ;xxx: а чего бы хотел?yyy: я бы сейчас хотел написать курсачxxx: хмммxxx: я мееедленно забираю у тебя клавиатуруxxx: и укладываю тебя спатьyyy: оооооxxx: я открываю твой курсачxxx: он такой большой...xxx: целых %sheetcount% страницxxx: я начинаю с силой листать его, вычитывая опечатки и ошибки, исправляя стилистические шероховатостиyyy: оооооооооxxx: я ввожу в него примеры из авторитетных источниковxxx: я достаю свои вводные конструкцииxxx: и подчинительные обороты...yyy: ооооxxx: твой курсач становится все больше и большеxxx: он такой влажныйxxx: (от воды)yyy: дааxxx: еще немного.. главное - не останавливатьсяxxx: мои движения становятся быстрыми и исступленнымиxxx: я пихаю в него ссылкиxxx: и на последнем издыхании пишу заключениеxxx: финальным аккордом звучит список литературыxxx: ...xxx: о да.xxx: как тебе, милый?yyy: я сдалyyy: два раза;657
Цитата #1168; 8 сентября 2008 ;"Реклама макдака в метро:""Учёные утверждают, что человек может успешно выполнять 7 действий одновременно.Оказывается, что это не предел.Макдональдс даёт тебе навыки, которые точно пригодятся в жизни.""Как они изящно замаскировали фразу: ""Ты заебёшься на этой блядской работе!!!""";656
Цитата #12587; 12 апреля 2010 ;"xxx: Привет. Как у вас с Лехой отношения?yyy: Ппц. Расстались, не прошло и месяца.xxx: Чего так?yyy: Ды он мало того, что мой парень, так ещё и мой провайдер. Вчера, отворачиваясь к стенке после всего, что было, буркнул: ""Вот что я всегда хотел сделать с абонентом...""";655
Цитата #12644; 15 апреля 2010 ;Не взяли меня на работу..Это еще почему?Сказали, что им нужен тот человек, что в резюме описан, а не я...;655
Цитата #13502; 28 мая 2010 ;xxx: я пошла вешаться :(yyy: что такое?xxx: проблемы..yyy: какие?xxx: завтра расскажу;655
Цитата #16040; 29 сентября 2010 ;Маркетолог заказал в новый ларек коловский холодильник. Привезли, пытаемся всунуть, а он никак не проходит ни в ширину, ни в глубину. Меряем дверь - 64 см, меряем холодильник - 72 см. Звоню маркетологу:я: ты двери мерил?м: дая: сколько получилось?м: 64 смя: а зачем ты заказал холодильник на 72 см?м: А ЧТО? НЕ ВОШЕЛ?;655
Цитата #16053; 30 сентября 2010 ;"Статья на мэйле под названием""Доллар хотят украсить яркими цветами и портретом Обамы""один из комментариев:xxx:А еще сделать помягче и двухслойнымСкоро пригодится";652
Цитата #16257; 6 октября 2010 ;"Кэппи: Люди не думают, что говорят. Утром выяснилось, что презерватив порвался, я репу почесал и пошёл в аптеку ей за пастинором. Прихожу и говорю продавщице - будьте добры пастинор, а она мне такая радостная вся: ""Ой, молодой человек, вам таааааак повезло""... у меня ступор, я думаю каким боком мне тут вообще повезло, рожа зелёная, глаза злые, стою, упёрся в неё взглядом, жду продолжения, тут она поняла, что сморозила и исправилась: ""Ну тоесть его только-только привезли, в субботу утром лучше пастинора только анальгин идёт"" )))";650
Цитата #155; 28 ноября 2007 ;xxx: мля сёдня забавно было...тихо спокойно перебегаю дорогу ни кого не трогую...ктож знал что между 2-мя машинами тросс...;649
Цитата #31043; 15 июня 2012 ;"В пробке парень невнятной внешности раздает каталоги интимных услуг. Сует в мое окно. Говорю ему: ""в нашей стране проституция запрещена"". Он делает удивленные глаза и спрашивает - ""А вы откуда?""";649
Цитата #30746; 6 июня 2012 ;10-летний братец рано осознал суровость жизни.разговаривает по телефону с девочкой: ага, да, понятно, ухты, круто, мммм, ага. спустя 15 минут ее непрерывной болтовни он просто кладет трубку на стол, уходит на кухню, наливает чай, возвращается и в трубку: конечно-конечно, я тебя слушал.. да ты что? ммм...;646
Цитата #30779; 7 июня 2012 ;xxx: в 2007 прикололся: заставлял бухгалтеров соединенную через usb-удлиннитель флешку вертикально держать, чтобы файлы быстрее стекали в комп.xxx: полгода они так делали и даже верили, что действительно быстрее.xxx: в 2008 народ прозрел и я остался на месяц без премии;645
Цитата #30432; 25 мая 2012 ;Luiren: О возрастах. Ждал я маму от зубного, в машине сидеть надоело, так что пересел на качельки. Сижу, качаюсь, никого не трогаю, думаю о бренности бытия. Тут ко мне подходит тетенька и спрашивает, почему я не в школе. Ответил, что я там больше не работаю. Сижу, качаюсь....;641
Цитата #12020; 15 марта 2010 ;КЭТ: ну, ема, я-то думала что это освежитель, откуда я знала, что у этих кретинов в туалете баллон со взбитыми сливками? ((;640
Цитата #14280; 8 июля 2010 ;AmigoRico: Два дня назад жутко захотелось рисовать, взял лист бумаги и карандаш, и начал рисовать портрет девушки. Нарисовал, положил и забыл. Сегодня познакомился с одной очаровательной девушкой по интернету, она русская но сейчас живёт в штатах. Каким же было моё удивление, когда общались по скайпу, она включила камеру, и спустя нескольких минут я увидел на полу лист, поднял, и понял что нарисовал девушку с которой сейчас общаюсь...jugf: бабки рисуй, бааабки!;638
Цитата #28630; 19 марта 2012 ;": Ночью перед сном любимая говорит: ""Дай прижмусь к тебе поближе..."" и через пару секунд добавляет: ""Пока ты тёплый""...";638
Цитата #31006; 14 июня 2012 ;Как же женщины умеют троллить друг друга! Из подслушанного:- Ну замечательно! Начальник говорит, что нужен аврал, и ты одна со всей конторы выходишь на все праздники. Коллега просит помочь ей разгрести завал - и ты в итоге вместо нее отчет делаешь. Сестра говорит, что заболела, и ты бегаешь по аптекам и забираешь к себе племянников, хотя у нее дома муж есть. Таскаешь сумки бабке-соседке, выгуливаешь ее шавку. Я одного не пойму - если ты такая безотказная, почему ты в свои 25 девственница?;638
Цитата #16909; 30 октября 2010 ;xxx: Ненавижу друзей мужа. Люто.xxx: Всех бы их, гадов, переженила.;637
Цитата #10247; 3 декабря 2009 ;Ivga: Ладн, это все ерунда. Давай я тебе про знакомую свою расскажу. Девочке 16, она всегда, когда моет окна, кладет ключи в карман халата. Я ее спросила - зачем. Она говорит: так а если я из окна выпаду, как я домой попаду?Ivga: А живет на 8 этаже.Ivga: И после этого кто-то меня называет оптимистом?;634
Цитата #30258; 18 мая 2012 ;Александр: в учебнике кима по теории управления кстати нет коэффициентов линеаризации для несимметричных характеристик. ты как с ними делал?Сергей: Я себе жопу порвал, но разобрался. Завтра покажуАлександр: окейАлександр: ты не жопу ведь покажешь?Сергей: нет.;634
